param_annealing_alphas,param_clustering_loss_weight,param_embedding_extractor,best_matching,accuracy,ari,nmi
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.9,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 3, 2: 0, 3: 1}",0.5407523510971787,0.2765278535322972,0.31985379177091083
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 1, 1: 0, 2: 3, 3: 2}",0.6865203761755486,0.41073094290172824,0.45345158346011255
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 1, 1: 2, 2: 3, 3: 0}",0.8573667711598746,0.6678546662265558,0.6380398399768339
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 2, 2: 0, 3: 1}",0.8040752351097179,0.5633376561581944,0.5451741328304928
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 3, 2: 1, 3: 2}",0.5642633228840125,0.36220869417368556,0.4208548825487381
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 0, 2: 3, 3: 1}",0.786833855799373,0.553509303417729,0.557359453755383
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 3, 1: 1, 2: 2, 3: 0}",0.829153605015674,0.6084552951669799,0.584068671573631
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 3, 2: 0, 3: 2}",0.6661442006269592,0.43893639070397555,0.4751973750061124
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 1, 1: 0, 2: 2, 3: 3}",0.3996865203761755,0.12579346703005923,0.15168992003783632
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 1, 1: 3, 2: 2, 3: 0}",0.6755485893416928,0.45185599666402015,0.4747006580188944
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 0, 1: 3, 2: 2, 3: 1}",0.8244514106583072,0.5973889859765645,0.5722148025279642
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 1, 2: 3, 3: 0}",0.7084639498432602,0.451174282230255,0.4724279658102174
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],1.0,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 0, 2: 3, 3: 1}",0.6316614420062696,0.37943769562823726,0.39015109670373505
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 0, 1: 1, 2: 2, 3: 3}",0.8087774294670846,0.5810259055595878,0.577044714158204
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 0, 1: 3, 2: 1, 3: 2}",0.8197492163009404,0.6006793551667438,0.5949551591170779
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 1, 1: 3, 2: 0, 3: 2}",0.8432601880877743,0.6369085599657486,0.6114137206079636
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 2, 1: 0, 2: 1, 3: 3}",0.700626959247649,0.44762864590835216,0.488232323581825
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 0, 2: 3, 3: 1}",0.7037617554858934,0.4395114319714058,0.4598331681844918
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 1, 1: 3, 2: 2, 3: 0}",0.6504702194357367,0.3379416318857795,0.3720481918951979
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7570532915360502,0.500470639368925,0.5250619483031593
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 2, 1: 3, 2: 0, 3: 1}",0.6144200626959248,0.38460488931362047,0.42849329480893456
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 2, 1: 3, 2: 1, 3: 0}",0.6442006269592476,0.41390789086671725,0.415803912169514
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 1, 1: 2, 2: 0, 3: 3}",0.5109717868338558,0.20569350529335756,0.2546598558453902
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 1, 1: 0, 2: 3, 3: 2}",0.5266457680250783,0.23479777148200787,0.24633948613883577
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 2, 2: 0, 3: 1}",0.5078369905956113,0.2717754043973224,0.3521119357154146
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 1, 1: 3, 2: 0, 3: 2}",0.6927899686520376,0.468864738513874,0.5047694335080272
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7037617554858934,0.4379969851836217,0.4688133098442957
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 1, 1: 2, 2: 3, 3: 0}",0.7382445141065831,0.5164615232068918,0.5557287913927408
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 3, 2: 2, 3: 0}",0.7539184952978056,0.5057972833188481,0.51303570915084
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 3, 2: 0, 3: 1}",0.8025078369905956,0.5725190386838861,0.5650321182911722
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 1, 1: 0, 2: 3, 3: 2}",0.5752351097178683,0.28493093598822744,0.3308220435088809
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 2, 1: 3, 2: 0, 3: 1}",0.7178683385579937,0.45294279686328515,0.47541263570724296
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7836990595611285,0.5334508357078446,0.5337791425091383
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 3, 1: 2, 2: 1, 3: 0}",0.5329153605015674,0.34199054200249873,0.3871505153656951
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 2, 2: 1, 3: 0}",0.8401253918495298,0.6350157226888603,0.6180601660613372
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 2, 2: 1, 3: 0}",0.4373040752351097,0.1702011348180925,0.24976906465176255
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 0, 2: 1, 3: 3}",0.5815047021943573,0.3495942295782354,0.3883580073591095
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 0, 1: 3, 2: 1, 3: 2}",0.8072100313479624,0.5728247111294066,0.5614831548509198
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 2, 1: 0, 2: 1, 3: 3}",0.8040752351097179,0.5683875871740981,0.5506852099963595
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 0, 1: 3, 2: 2, 3: 1}",0.8479623824451411,0.6427399296826579,0.6101995073996151
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7507836990595611,0.5113140597261712,0.5162987537631051
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 0, 2: 1, 3: 2}",0.6959247648902821,0.4690503036830111,0.5012816493025086
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 0, 1: 3, 2: 1, 3: 2}",0.8652037617554859,0.6793708580969063,0.6494831087964209
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 0, 2: 3, 3: 2}",0.700626959247649,0.3839700390886593,0.4040716088750331
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 0, 1: 1, 2: 2, 3: 3}",0.6692789968652038,0.46028582063237083,0.4845410259243875
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 0, 1: 3, 2: 1, 3: 2}",0.5517241379310345,0.2915534034435702,0.33116911515256725
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 0, 1: 2, 2: 1, 3: 3}",0.5846394984326019,0.33640367836371626,0.3285960496980103
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 3, 2: 0, 3: 1}",0.6849529780564263,0.4577227839798256,0.4649245086756025
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7115987460815048,0.43965596985350724,0.48513743081026106
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 1, 1: 3, 2: 0, 3: 2}",0.8401253918495298,0.6304013939048103,0.6058276822580833
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 0, 1: 3, 2: 2, 3: 1}",0.603448275862069,0.3373577695780738,0.3630410416841289
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 0, 1: 2, 2: 1, 3: 3}",0.8463949843260188,0.6428111828118964,0.6138811763174316
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 3, 1: 1, 2: 0, 3: 2}",0.8119122257053292,0.5803112330353716,0.5692623720005625
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7413793103448276,0.49420865088543486,0.4997204250582281
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 3, 1: 1, 2: 0, 3: 2}",0.835423197492163,0.6230581058303959,0.606093298826281
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 2, 2: 0, 3: 3}",0.8275862068965517,0.6063126320004933,0.5855983666903833
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.6128526645768025,0.3922033125764161,0.4197506551977877
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 2, 1: 0, 2: 1, 3: 3}",0.7382445141065831,0.5066873331568673,0.5405101260130889
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 1, 2: 0, 3: 2}",0.5517241379310345,0.27804122499210865,0.27451093860238046
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 1, 2: 2, 3: 0}",0.7758620689655172,0.5221105491479426,0.5206104682774086
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 1, 2: 0, 3: 3}",0.4561128526645768,0.21349850480554497,0.2814866951517709
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 0, 1: 1, 2: 3, 3: 2}",0.7335423197492164,0.49144819430545966,0.5169790547015333
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 1, 1: 2, 2: 0, 3: 3}",0.6755485893416928,0.47301219822115553,0.5086778287051709
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 2, 2: 1, 3: 0}",0.8557993730407524,0.661693457771824,0.6346556484660871
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 2, 2: 3, 3: 0}",0.8385579937304075,0.6259786614569192,0.5933698645323429
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 1, 2: 0, 3: 2}",0.567398119122257,0.34359095227775494,0.37501881030049683
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 3, 1: 0, 2: 2, 3: 1}",0.7962382445141066,0.5557704056704952,0.544681445496816
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 1, 1: 2, 2: 3, 3: 0}",0.7633228840125392,0.5211003484858334,0.5449117040042597
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 2, 1: 1, 2: 0, 3: 3}",0.5971786833855799,0.35454400792522345,0.38467012350706364
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 0, 1: 1, 2: 2, 3: 3}",0.6426332288401254,0.43738259251107214,0.46631085634006586
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 2, 1: 1, 2: 0, 3: 3}",0.7915360501567398,0.5657515312942166,0.5684094010624684
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 1, 2: 0, 3: 3}",0.445141065830721,0.14454504360643716,0.15684619919424175
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.5,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 0, 2: 1, 3: 3}",0.42946708463949845,0.1404552412015028,0.1766954333776133
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 0, 1: 1, 2: 3, 3: 2}",0.7617554858934169,0.5179951031381682,0.5390951397867894
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 0, 1: 1, 2: 2, 3: 3}",0.7758620689655172,0.5200199356269505,0.5126313252802313
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 2, 2: 1, 3: 0}",0.8197492163009404,0.5929605516021085,0.5702466350229292
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7931034482758621,0.5643274564207137,0.5703047334504497
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 1, 2: 0, 3: 3}",0.8072100313479624,0.5667085992099984,0.5415204831777906
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 3, 1: 2, 2: 1, 3: 0}",0.7648902821316614,0.5365551921851671,0.5522729266021853
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 0, 1: 3, 2: 1, 3: 2}",0.8040752351097179,0.5674364587328442,0.5531583235298504
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.6880877742946708,0.4429509381854602,0.4733792564333466
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 3, 1: 1, 2: 2, 3: 0}",0.768025078369906,0.5252018035652305,0.5235186708588253
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 2, 1: 3, 2: 0, 3: 1}",0.7727272727272727,0.5267509826672374,0.5178320037193201
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7617554858934169,0.5012367558915375,0.5023857271496345
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.6,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 3, 1: 2, 2: 0, 3: 1}",0.5830721003134797,0.26561036617442896,0.2721730414075029
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 2, 1: 0, 2: 3, 3: 1}",0.7633228840125392,0.4913534057259842,0.48685605413023963
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.8401253918495298,0.6307263400373643,0.6033730709247803
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 1, 1: 0, 2: 2, 3: 3}",0.8385579937304075,0.6261017591641217,0.5949240311076475
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 2, 2: 3, 3: 1}",0.7962382445141066,0.5620116170512254,0.5676048727183283
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 0, 1: 3, 2: 2, 3: 1}",0.7836990595611285,0.5357219027565656,0.5339975522727898
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 2, 1: 1, 2: 0, 3: 3}",0.8197492163009404,0.592895207563167,0.5724984241595997
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 2, 1: 3, 2: 0, 3: 1}",0.8181818181818182,0.5957583501441283,0.5797722740321783
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 2, 2: 0, 3: 1}",0.6896551724137931,0.4750060664574637,0.5006982883938372
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 1, 1: 3, 2: 0, 3: 2}",0.8087774294670846,0.5698671595378824,0.5475484545057717
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 2, 1: 3, 2: 1, 3: 0}",0.5438871473354232,0.285686001717747,0.329720509679973
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 0, 1: 2, 2: 3, 3: 1}",0.8307210031347962,0.6069836164412594,0.5714982994011644
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.7,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 0, 1: 3, 2: 1, 3: 2}",0.5282131661442007,0.23572987481591895,0.24811617686274517
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 1, 1: 3, 2: 0, 3: 2}",0.7931034482758621,0.5577971385923874,0.572297213156995
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 3, 1: 0, 2: 2, 3: 1}",0.7507836990595611,0.5062127843461531,0.5251184307440065
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 1, 2: 0, 3: 2}",0.5517241379310345,0.32870287389707264,0.3709132535559917
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 0, 2: 3, 3: 2}",0.7695924764890282,0.5328236090873414,0.5472148460809871
[1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000. 1000.],0.8,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7068965517241379,0.49827903898937076,0.5305196243035444
